ts,date,open,high,low,close
1786845600,2026-08-16 02:00,63051.3,63132.2,62988.9,63092.3
1786849200,2026-08-16 03:00,63092.4,63103.1,63080.0,63096.6
1786852800,2026-08-16 04:00,63096.5,63122.7,63056.6,63056.7
1786856400,2026-08-16 05:00,63056.6,63068.4,63007.1,63027.7
1786860000,2026-08-16 06:00,63027.7,63056.1,63009.2,63036.5
1786863600,2026-08-16 07:00,63036.5,63036.6,63024.0,63034.3
1786867200,2026-08-16 08:00,63034.4,63045.1,63030.1,63039.5
1786870800,2026-08-16 09:00,63039.6,63039.6,62936.0,62957.0
1786874400,2026-08-16 10:00,62957.0,62982.1,62928.5,62979.2
1786878000,2026-08-16 11:00,62979.2,62981.1,62945.9,62981.1
1786881600,2026-08-16 12:00,62981.1,63000.0,62959.1,62986.4
1786885200,2026-08-16 13:00,62986.4,63040.9,62986.3,63036.1
1786888800,2026-08-16 14:00,63036.1,63078.6,63031.9,63078.5
1786892400,2026-08-16 15:00,63078.6,63113.8,63077.7,63113.8
1786896000,2026-08-16 16:00,63113.8,63370.0,63108.4,63232.7
1786899600,2026-08-16 17:00,63232.7,63247.2,63087.3,63130.7
1786903200,2026-08-16 18:00,63130.6,63148.0,63092.0,63111.3
1786906800,2026-08-16 19:00,63111.4,63201.7,63063.6,63082.2
1786910400,2026-08-16 20:00,63082.3,63117.1,62988.3,63041.0
1786914000,2026-08-16 21:00,63041.0,63067.3,62700.1,62900.0
1786917600,2026-08-16 22:00,62900.1,62930.0,62681.1,62885.0
1786921200,2026-08-16 23:00,62885.0,62967.0,62803.7,62876.0
1786924800,2026-08-17 00:00,62876.0,62936.6,62723.9,62887.3
1786928400,2026-08-17 01:00,62887.3,63230.0,62867.2,63084.0
1786932000,2026-08-17 02:00,63084.1,63482.0,63008.2,63382.7
1786935600,2026-08-17 03:00,63382.8,63498.0,63314.7,63409.8
1786939200,2026-08-17 04:00,63409.7,63564.3,63409.7,63512.3
1786942800,2026-08-17 05:00,63512.3,63572.6,63414.4,63488.0
1786946400,2026-08-17 06:00,63488.1,63693.2,63447.8,63633.1
1786950000,2026-08-17 07:00,63633.2,63636.3,63492.5,63493.5
1786953600,2026-08-17 08:00,63493.5,63524.9,63320.2,63350.1
1786957200,2026-08-17 09:00,63350.1,63405.7,63255.0,63290.1
1786960800,2026-08-17 10:00,63290.1,63671.2,63265.3,63661.9
1786964400,2026-08-17 11:00,63661.8,63753.0,63554.0,63600.0
1786968000,2026-08-17 12:00,63600.0,63655.7,63502.4,63526.6
1786971600,2026-08-17 13:00,63526.6,63776.0,63412.5,63647.0
1786975200,2026-08-17 14:00,63646.9,63880.0,63561.3,63871.7
1786978800,2026-08-17 15:00,63871.8,64199.9,63779.3,64169.9
1786982400,2026-08-17 16:00,64169.8,64185.6,64022.3,64082.1
1786986000,2026-08-17 17:00,64082.2,64388.0,63944.3,64293.1
1786989600,2026-08-17 18:00,64293.2,64600.8,64243.7,64402.7
1786993200,2026-08-17 19:00,64402.8,64402.8,64258.3,64280.4
1786996800,2026-08-17 20:00,64280.4,64414.3,64231.3,64360.7
1787000400,2026-08-17 21:00,64360.7,64405.5,64269.8,64350.3
1787004000,2026-08-17 22:00,64350.2,64390.0,64247.8,64267.7
1787007600,2026-08-17 23:00,64267.6,64555.4,64261.1,64504.1
1787011200,2026-08-18 00:00,64504.1,64541.6,64330.0,64357.4
1787014800,2026-08-18 01:00,64357.4,64361.0,64116.7,64174.9
1787018400,2026-08-18 02:00,64174.9,64246.0,64000.0,64074.0
1787022000,2026-08-18 03:00,64074.0,64156.7,64005.5,64147.4
1787025600,2026-08-18 04:00,64147.5,64215.6,64055.0,64184.5
1787029200,2026-08-18 05:00,64184.5,64245.6,64107.0,64202.7
1787032800,2026-08-18 06:00,64202.7,64425.0,64130.0,64297.9
1787036400,2026-08-18 07:00,64297.9,64329.8,64135.9,64170.9
1787040000,2026-08-18 08:00,64170.8,64310.0,64056.4,64264.5
1787043600,2026-08-18 09:00,64264.4,64264.4,64106.6,64140.5
1787047200,2026-08-18 10:00,64140.5,64194.6,64100.1,64171.7
1787050800,2026-08-18 11:00,64171.6,64380.0,64161.4,64326.0
